#Version=1.29F
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
1,1,50001,0,M4000_Emergency stop,12,13,M4000_緊急停止
2,1,50002,0,M4001_Insufficient air pressure,12,13,M4001_空氣壓力不足
3,1,50003,0,M4002_Human-machine emergency stop,12,13,M4002_人機急停異常
4,1,50004,0,M4003_important exception spare,12,13,M4003_重要異常備用
5,1,50005,0,M4004_important exception spare,12,13,M4004_重要異常備用
6,1,50006,0,M4005_important exception spare,12,13,M4005_重要異常備用
7,1,50007,0,M4006_Important exception spare,12,13,M4006_重要異常備用
8,1,50008,0,M4007_important exception spare,12,13,M4007_重要異常備用
9,1,50009,0,M4008_PLC battery power is low,12,13,M4008_PLC電池 電力不足
10,1,50010,0,M4009_CC-Link Error,12,13,M4009_CC-Link Error
11,1,50011,0,M4010_The feed blower is abnormal,12,13,M4010_進料鼓風機異常
12,1,50012,0,M4011_The feed dust-free fan abnormal,12,13,M4011_進料無塵風機異常
13,1,50013,0,M4012_Return 1 conveyor motor abnormal,12,13,M4012_回流1輸送馬達異常
14,1,50014,0,M4013_Return 2 conveyor motor abnormal,12,13,M4013_回流2輸送馬達異常
15,1,50015,0,M4014_Abnormal f_splitter swingarm motor,12,13,M4014_進料分流旋臂馬達異常
16,1,50016,0,M4015_Abnormal d_merging swingarm motor,12,13,M4015_出料合流旋臂馬達異常
17,1,50017,0,M4016_Abnormal L_IR conveying motor,12,13,M4016_左IR輸送馬達異常
18,1,50018,0,M4017_Abnormal R_IR conveying motor,12,13,M4017_右IR輸送馬達異常
19,1,50019,0,M4018_Abnormal discharge dust-free fan,12,13,M4018_出料無塵風機異常
20,1,50020,0,M4019_,12,13,M4019_
21,1,50021,0,M4020_Feeding whole plate servo abnormal,12,13,M4020_進料整板機構伺服異常
22,1,50022,0,M4021_Inserting transfer servo abnormal,12,13,M4021_取板牙插移載機構伺服異常
23,1,50023,0,M4022_reserved,12,13,M4022_預留
24,1,50024,0,M4023_Abnormal feed arm fetching servo,12,13,M4023_進料手臂取手伺服異常
25,1,50025,0,M4024_Abnormal servo of feeding bracket,12,13,M4024_進料托框昇降伺服異常
26,1,50026,0,M4025_L_claw opening servo abnormal,12,13,M4025_進左開爪機構伺服異常
27,1,50027,0,M4026_R_claw opening servo abnormal,12,13,M4026_進右開爪機構伺服異常
28,1,50028,0,M4027_Frame removal servo abnormal,12,13,M4027_分流前取框機構伺服異常
29,1,50029,0,M4028_Inserting transfer servo abnormal,12,13,M4028_出板牙插移載機構伺服異常
30,1,50030,0,M4029_reserved,12,13,M4029_預留
31,1,50031,0,M4030_Arm servo abnormal,12,13,M4030_出手臂取手機構伺服異常
32,1,50032,0,M4031_Discharge lifting servo abnormal,12,13,M4031_出料托框昇降機構伺服異常
33,1,50033,0,M4032_Left clamping servo abnormal,12,13,M4032_出左開夾機構伺服異常
34,1,50034,0,M4033_Right clamping servo abnormal,12,13,M4033_出右開夾機構伺服異常
35,1,50035,0,M4034_Frame hanging servo abnormal,12,13,M4034_合流後掛框機構伺服異常
36,1,50036,0,M4035_reserved,12,13,M4035_預留
37,1,50037,0,M4036_,12,13,M4036_
38,1,50038,0,M4037_,12,13,M4037_
39,1,50039,0,M4038_,12,13,M4038_
40,1,50040,0,M4039_,12,13,M4039_
41,1,50041,0,M4040_P_limit of the entire board,12,13,M4040_進料整板正極限異常
42,1,50042,0,M4041_N_limit of the entire board,12,13,M4041_進料整板負極限異常
