#Version=1.26C
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
1,1,50001,0,Emergency Stop Switch Error,12,13,緊急停止開關異常
2,1,50002,0,Sequence phase relay error,12,13,電源相序檢測異常
3,1,50003,0,Top Oven Proximity Sensor Error,12,13,上爐近接開關異常
4,1,50004,0,Blower Inverter Error,12,13,排氣變頻器異常
5,1,50005,0,Conveyor Inverter Error,12,13,輸送變頻器異常
6,1,50006,0,Circulating Blower Error,12,13,循環風車異常
7,1,50007,0,Top IR1 Low Temperature AL1,12,13,上IR1溫控器低溫 AL1
8,1,50008,0,Top IR1 High Temperature AL2,12,13,上IR1溫控器高溫 AL2
9,1,50009,0,Top IR1 High Over Temperature,12,13,上IR1超溫防止器
10,1,50010,0,Bottom IR2 Low Temperature AL1,12,13,下IR2溫控器低溫 AL1
11,1,50011,0,Bottom IR2 High Temperature AL2,12,13,上IR2溫控器高溫 AL2
12,1,50012,0,Bottom IR1 High Over Temperature,12,13,上IR2超溫防止器
13,1,50013,0,Top SCR1 Error,12,13,上SCR1異常
14,1,50014,0,Bottom SCR2 Error,12,13,下SCR2異常
15,1,50015,0,PLC Battery Low Error,12,13,電池電壓不足
16,1,50016,0,Unloading Error. Stop Loading Board In.,12,13,下游不允許出料
17,1,50017,0,PCB Jam Error,12,13,卡板延遲異常
18,1,50018,0,Oven Inside Counts Error,12,13,爐內片數異常
19,1,50019,0,Over Temperature Error,12,13,超溫異常
20,1,50020,0,Top Oven Cover Left Buckle Hasn't Leave,12,13,上爐蓋左釦未離開
21,1,50021,0,Top Oven Cover Right Buckle Hasn't Leave,12,13,上爐蓋右釦未離開
22,1,50022,0,Top Oven Cover Cylinder1 Open Error,12,13,上爐蓋氣缸1開啟定點異常
23,1,50023,0,Top Oven Cover Cylinder1 Close Error,12,13,上爐蓋氣缸1關閉定點異常
24,1,50024,0,Top Oven Cover Cylinder2 Open Error,12,13,上爐蓋氣缸2開啟定點異常
25,1,50025,0,Top Oven Cover Cylinder2 Close Error,12,13,上爐蓋氣缸2關閉定點異常
26,1,50026,0,Top Oven Cover Cylinder3 Open Error,12,13,上爐蓋氣缸3開啟定點異常
27,1,50027,0,Top Oven Cover Cylinder3 Close Error,12,13,上爐蓋氣缸3關閉定點異常
28,1,50028,0,Top Oven Cover Rod not positioned,12,13,上爐蓋撐桿未定位
29,1,50029,0,Air Pressure Low Error,12,13,氣壓不足
30,1,50052,0,,12,13,
31,1,50052,0,,12,13,
32,1,50052,0,,12,13,
33,1,50052,0,,12,13,
34,1,50052,0,,12,13,
35,1,50052,0,,12,13,
36,1,50052,0,,12,13,
37,1,50052,0,,12,13,
38,1,50052,0,,12,13,
39,1,50052,0,,12,13,
40,1,50052,0,,12,13,
41,1,50052,0,,12,13,
42,1,50052,0,,12,13,
43,1,50052,0,,12,13,
44,1,50052,0,,12,13,
45,1,50052,0,,12,13,
46,1,50052,0,,12,13,
47,1,50052,0,,12,13,
48,1,50052,0,,12,13,
49,1,50052,0,,12,13,
50,1,50052,0,,12,13,
51,1,50052,0,,12,13,
52,1,50052,0,,12,13,
53,1,50053,0,,12,13,
54,1,50054,0,,12,13,
55,1,50055,0,,12,13,
56,1,50056,0,,12,13,
57,1,50057,0,,12,13,
58,1,50058,0,,12,13,
59,1,50059,0,,12,13,
60,1,50060,0,,12,13,
61,1,50060,0,,12,13,
62,1,50062,0,,12,13,
63,1,50063,0,,12,13,
64,1,50064,0,,12,13,
65,1,50065,0,,12,13,
66,1,50066,0,,12,13,
67,1,50067,0,,12,13,
68,1,50068,0,,12,13,
69,1,50069,0,,12,13,
70,1,50070,0,,12,13,
71,1,50071,0,,12,13,
72,1,50072,0,,12,13,
73,1,50073,0,,12,13,
74,1,50074,0,,12,13,
75,1,50075,0,,12,13,
76,1,50076,0,,12,13,
77,1,50077,0,,12,13,
78,1,50078,0,,12,13,
79,1,50079,0,,12,13,
80,1,50080,0,,12,13,
81,1,50081,0,,12,13,
82,1,50082,0,,12,13,
83,1,50083,0,,12,13,
84,1,50084,0,,12,13,
85,1,50085,0,,12,13,
86,1,50086,0,,12,13,
87,1,50087,0,,12,13,
88,1,50088,0,,12,13,
89,1,50089,0,,12,13,
90,1,50090,0,,12,13,
91,1,50091,0,,12,13,
92,1,50092,0,,12,13,
93,1,50093,0,,12,13,
94,1,50094,0,,12,13,
95,1,50095,0,,12,13,
96,1,50096,0,,12,13,
97,1,50097,0,,12,13,
98,1,50098,0,,12,13,
99,1,50099,0,,12,13,
100,1,50100,0,,12,13,
101,1,50101,0,,12,13,
102,1,50102,0,,12,13,
103,1,50103,0,,12,13,
104,1,50104,0,,12,13,
105,1,50105,0,,12,13,
106,1,50106,0,,12,13,
107,1,50107,0,,12,13,
108,1,50108,0,,12,13,
109,1,50109,0,,12,13,
110,1,50110,0,,12,13,
111,1,50111,0,,12,13,
112,1,50112,0,,12,13,
113,1,50113,0,,12,13,
114,1,50114,0,,12,13,
115,1,50115,0,,12,13,
116,1,50116,0,,12,13,
117,1,50117,0,,12,13,
118,1,50118,0,,12,13,
119,1,50119,0,,12,13,
120,1,50120,0,,12,13,
121,1,50121,0,,12,13,
122,1,50122,0,,12,13,
