#Version=1.26C
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
1,1,50001,0,Emergency Stop Switch Error,12,13,緊急停止開關異常
2,1,50002,0,Sequence phase relay error,12,13,電源相序檢測異常
3,1,50003,0,Loading PCB jam error,12,13,入口卡板異常
4,1,50004,0,Unloading PCB jam error,12,13,出口卡板異常
5,1,50005,0,UV safety door open,12,13,UV門防止打開開關異常
6,1,50006,0,Blower motor 1 overload,12,13,上排風風車馬達異常
7,1,50007,0,Blower motor 2 overload,12,13,下排風風車馬達異常
8,1,50008,0,Cooling fan A overload,12,13,安定器風扇過載異常
9,1,50009,0,Cooling fan B overload,12,13,進氣冷卻風扇過載
10,1,50010,0,Cooling fan C overload,12,13,燈箱冷卻風扇過載
11,1,50011,0,Conveyor motor overload,12,13,輸送馬達過載異常
12,1,50012,0,Inverter error,12,13,輸送變頻機異常
13,1,50013,0,,12,13,
14,1,50014,0,,12,13,
15,1,50015,0,,12,13,
16,1,50016,0,,12,13,
17,1,50017,0,Unlaod PCB jam lamp off,12,13,卡板熄燈
18,1,50018,0,UV door open lamp off,12,13,安全門開啟時熄燈選擇    (on熄燈)
19,1,50019,0,Inside PCB limit error,12,13,爐內限制數量異常
20,1,50020,0,,12,13,
21,1,50021,0,Exhaust over temp.,12,13,排風溫度異常
22,1,50022,0,Load over temp.,12,13,進料溫度異常
23,1,50023,0,Unload over temp.,12,13,出料溫度異常
24,1,50024,0,,12,13,
25,1,50025,0,Unloading interlock error,12,13,出料連線異常
26,1,50026,0,,12,13,
27,1,50027,0,,12,13,
28,1,50028,0,,12,13,
29,1,50029,0,Lamp 1 power supply error,12,13,第 1 燈安定器異常
30,1,50030,0,UV1 light up error,12,13,第 1 燈點燈失敗
31,1,50031,0,Lamp 2 power supply error,12,13,第 2 燈安定器異常
32,1,50032,0,UV2 light up error,12,13,第 2 燈點燈失敗
33,1,50033,0,Lamp 3 power supply error,12,13,第 3 燈安定器異常
34,1,50034,0,UV3 light up error,12,13,第 3 燈點燈失敗
35,1,50035,0,Lamp 4 power supply error,12,13,第 4 燈安定器異常
36,0,50036,0,UV4 light up error,12,13,第 4 燈點燈失敗
37,1,50037,0,,12,13,
38,1,50038,0,,12,13,
39,1,50039,0,,12,13,
40,1,50040,0,,12,13,
41,1,50041,0,Lamp on but convey not run,12,13,點燈中輸送停止未運轉
42,1,50042,0,,12,13,
43,1,50043,0,UV1 lamp maintain time out,12,13,第 1 燈保養時間到達
44,1,50044,0,UV2 lamp maintain time out,12,13,第 2 燈保養時間到達
45,1,50045,0,UV3 lamp maintain time out,12,13,第 3 燈保養時間到達
46,1,50046,0,UV4 lamp maintain time out,12,13,第 4 燈保養時間到達
47,1,50047,0,,12,13,
48,1,50048,0,,12,13,
49,1,50049,0,Roller maintain time out,12,13,滾輪保養時間到達
50,1,50050,0,Over 30s after UV light up,12,13,UV點燈後30秒不可選擇提示
51,1,50051,0,,12,13,
52,1,50052,0,,12,13,
53,1,50053,0,,12,13,
54,1,50054,0,,12,13,
55,1,50055,0,,12,13,
56,1,50056,0,,12,13,
57,1,50057,0,,12,13,
58,1,50058,0,,12,13,
59,1,50059,0,,12,13,
60,1,50060,0,,12,13,
61,1,50061,0,Start ECO mode,12,13,節能省電啟動中
62,1,50062,0,,12,13,
63,1,50063,0,,12,13,
64,1,50064,0,,12,13,
65,1,50065,0,,12,13,
66,1,50066,0,,12,13,
67,1,50067,0,,12,13,
68,1,50068,0,,12,13,
69,1,50069,0,,12,13,
70,1,50070,0,,12,13,
71,1,50071,0,,12,13,
72,1,50072,0,,12,13,
73,1,50073,0,,12,13,
74,1,50074,0,,12,13,
75,1,50075,0,,12,13,
76,1,50076,0,,12,13,
77,1,50077,0,,12,13,
78,1,50078,0,,12,13,
79,1,50079,0,,12,13,
80,1,50080,0,,12,13,
81,1,50081,0,,12,13,
82,1,50082,0,,12,13,
83,1,50083,0,,12,13,
84,1,50084,0,,12,13,
85,1,50085,0,,12,13,
86,1,50086,0,,12,13,
87,1,50087,0,,12,13,
88,1,50088,0,,12,13,
89,1,50089,0,,12,13,
90,1,50090,0,,12,13,
91,1,50091,0,,12,13,
92,1,50092,0,,12,13,
93,1,50093,0,,12,13,
94,1,50094,0,,12,13,
95,1,50095,0,,12,13,
96,1,50096,0,,12,13,
97,1,50097,0,,12,13,
98,1,50098,0,,12,13,
99,1,50099,0,,12,13,
100,1,50100,0,,12,13,
101,1,50101,0,,12,13,
102,1,50102,0,,12,13,
103,1,50103,0,,12,13,
104,1,50104,0,,12,13,
105,1,50105,0,,12,13,
106,1,50106,0,,12,13,
107,1,50107,0,,12,13,
108,1,50108,0,,12,13,
109,1,50109,0,,12,13,
110,1,50110,0,,12,13,
111,1,50111,0,,12,13,
112,1,50112,0,,12,13,
113,1,50113,0,,12,13,
114,1,50114,0,,12,13,
115,1,50115,0,,12,13,
116,1,50116,0,,12,13,
117,1,50117,0,,12,13,
118,1,50118,0,,12,13,
119,1,50119,0,,12,13,
120,1,50120,0,,12,13,
121,1,50121,0,,12,13,
122,1,50122,0,,12,13,
123,1,50123,0,,12,13,
124,1,50124,0,,12,13,
125,1,50125,0,,12,13,
