#Version=1.29F
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
1,1,50001,0,Emergency Stop,12,13,?急停止异常
2,1,50002,0,Power Phase Seq. Error,12,13,?源相序??异常
3,1,50003,0,ELB Error,12,13,分路??接?异常
4,1,50004,0,Air Lower Pressure,12,13,气?源?力??异常
5,1,50005,0,,12,13,
6,1,50006,0,,12,13,
7,1,50007,0,,12,13,
8,1,50008,0,,12,13,
9,1,50009,0,,12,13,
10,1,50010,0,TC Heater Error,12,13,?控器加?器异常
11,1,50011,0,TC Over Temp.,12,13,?控器?度超?异常
12,1,50012,0,,12,13,
13,1,50013,0,,12,13,
14,1,50014,0,Step 1 Ramp Timeout Alarm,12,13,第 1 段升?逾?异常
15,1,50015,0,Step 1 Dwell Timeout Alarm,12,13,第 1 段恒?逾?异常
16,1,50016,0,Step 2 Ramp Timeout Alarm,12,13,第 2 段升?逾?异常
17,1,50017,0,Step 2 Dwell Timeout Alarm,12,13,第 2 段恒?逾?异常
18,1,50018,0,Step 3 Ramp Timeout Alarm,12,13,第 3 段升?逾?异常
19,1,50019,0,Step 3 Dwell Timeout Alarm,12,13,第 3 段恒?逾?异常
20,1,50020,0,Step 4 Ramp Timeout Alarm,12,13,第 4 段升?逾?异常
21,1,50021,0,Step 4 Dwell Timeout Alarm,12,13,第 4 段恒?逾?异常
22,1,50022,0,Step 5 Ramp Timeout Alarm,12,13,第 5 段升?逾?异常
23,1,50023,0,Step 5 Dwell Timeout Alarm,12,13,第 5 段恒?逾?异常
24,1,50024,0,Step 6 Ramp Timeout Alarm,12,13,第 6 段升?逾?异常
25,1,50025,0,Step 6 Dwell Timeout Alarm,12,13,第 6 段恒?逾?异常
26,1,50026,0,Cooling Timeout Alarm,12,13,降???异常警?
27,1,50027,0,Circulation Windmill Current Error,12,13,循????流??异常
28,1,50028,0,Circulation Windmill Motor Error,12,13,循?????异常
29,1,50029,0,Outside Oven OTP,12,13,外??箱超?防止器异常
30,1,50030,0,Inlet Blower Overload,12,13,?气????异常
31,1,50031,0,,12,13,
32,1,50032,0,Oven Door Not Close In Auto Mode,12,13,自????未?
33,1,50033,0,Oven Door Not Close In Producing,12,13,生?中?未?
34,1,50034,0,Oven Door Not Close In Heating,12,13,加?中?未?
35,1,50035,0,Oven Door Not Open Alarm,12,13,停止后未??警告
36,0,50036,0,,12,13,
37,1,50037,0,,12,13,
38,1,50038,0,,12,13,
39,1,50039,0,PLC Low Battery,12,13,PLC ?池?量不足
40,1,50040,0,Temp. Controller Commun. Error,12,13,?控器通?异常
41,1,50041,0,,12,13,
42,1,50042,0,Oxygen Up Limit Alarm,12,13,含氧?上限异常
43,1,50043,0,Filling Large N2 Over Time,12,13,大量充氮气逾?
44,1,50044,0,,12,13,
45,1,50045,0,,12,13,
46,1,50046,0,,12,13,
47,1,50047,0,,12,13,
48,1,50048,0,,12,13,
49,1,50049,0,Program End,12,13,程序?束
