#Version=1.26C
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
1,1,50001,0,00:No.1 Temperature High Alarm,12,13,00:第1段電熱溫控器超溫
2,1,50002,0,01:No.2 Temperature High Alarm,12,13,01:第2段電熱溫控器超溫
3,1,50003,0,02:No.3 Temperature High Alarm,12,13,02:第3段電熱溫控器超溫
4,1,50004,0,03:No.4 Temperature High Alarm,12,13,03:第4段電熱溫控器超溫
5,1,50005,0,04:No.5 Temperature High Alarm,12,13,04:第5段電熱溫控器超溫
6,1,50006,0,05:No.6 Temperature High Alarm,12,13,05:第6段電熱溫控器超溫
7,1,50007,0,06:No.7 Temperature High Alarm,12,13,06:第7段電熱溫控器超溫
8,1,50008,0,07:No.8 Temperature High Alarm,12,13,07:第8段電熱溫控器超溫
9,1,50009,0,08:No.9 Temperature High Alarm,12,13,08:第9段電熱溫控器超溫
10,1,50010,0,09:No.10 Temperature High Alarm,12,13,09:第10段電熱溫控器超溫
11,1,50011,0,10:No.11 Temperature High Alarm,12,13,10:第11段電熱溫控器超溫
12,1,50012,0,11:No.12 Temperature High Alarm,12,13,11:第12段電熱溫控器超溫
13,1,50013,0,12:Spare,12,13,12:備用
14,1,50014,0,13:Spare,12,13,13:備用
15,1,50015,0,14:Spare,12,13,14:備用
16,1,50016,0,15:Spare,12,13,15:備用
17,1,50017,0,16:No.1 OTP Over Temperature,12,13,16:第1段電熱OTP超溫
18,1,50018,0,17:No.2 OTP Over Temperature,12,13,17:第2段電熱OTP超溫
19,1,50019,0,18:No.3 OTP Over Temperature,12,13,18:第3段電熱OTP超溫
20,1,50020,0,19:No.4 OTP Over Temperature,12,13,19:第4段電熱OTP超溫
21,1,50021,0,20:No.5 OTP Over Temperature,12,13,20:第5段電熱OTP超溫
22,1,50022,0,21:No.6 OTP Over Temperature,12,13,21:第6段電熱OTP超溫
23,1,50023,0,22:No.7 OTP Over Temperature,12,13,22:第7段電熱OTP超溫
24,1,50024,0,23:No.8 OTP Over Temperature,12,13,23:第8段電熱OTP超溫
25,1,50025,0,24:No.9 OTP Over Temperature,12,13,24:第9段電熱OTP超溫
26,1,50026,0,25:No.10 OTP Over Temperature,12,13,25:第10段電熱OTP超溫
