#Version=1.26C
#Type(0:SECS/1:I/O),MessageNo,OutPut(1:Valid/0:Invalid),Message Format(The default message undefined),Added date format(0:No/1:Suffix/2:Prefix),Comments
0,0,1,,1,Send Message
0,1,1,,1,Receive Message
0,2,1,,1,Message Spool
0,3,1,,1,Output Message Spool
0,4,1,,1,Start CA-SECS(CIMREADY)
0,5,1,,1,Connect
0,6,1,,1,Disconnection
0,7,1,,1,Communication
0,8,1,,1,ONLINE
0,9,1,,1,OFFLINE
0,10,1,,1,Spool Activity Start
0,11,1,,1,Spool Activity End
1,100,1,,1,Relay ON by equipment
1,101,1,,1,Relay ON by CA-SECS
1,102,1,,1,Relay OFF by equipment
1,103,1,,1,Relay OFF by CA-SECS
1,104,1,,1,Read Error Register
1,105,1,,1,Write Error Register
1,106,1,,1,Handshake Failed
